,Date,Vp,RHO,T,BP
76,2000-07-18 04:00:00,605.0,2.1,101495.0,5.281098385953876
77,2000-07-18 05:00:00,571.0,2.3,102188.0,6.090156157422368
78,2000-07-18 06:00:00,570.0,2.4,165706.0,3.2756678548192015
79,2000-07-18 07:00:00,564.0,2.1,192705.0,2.325940583819113
80,2000-07-18 08:00:00,547.0,2.0,163094.0,4.257933581109255
81,2000-07-18 09:00:00,546.0,2.2,151388.0,3.5114099446986247
82,2000-07-18 10:00:00,540.0,2.3,120040.0,4.210700464884643
83,2000-07-18 11:00:00,532.0,2.4,133627.0,3.2249031473742207
84,2000-07-18 12:00:00,539.0,3.3,167010.0,1.6763054841805969
85,2000-07-18 13:00:00,579.0,4.1,178509.0,2.408319011043963
86,2000-07-18 14:00:00,589.0,3.9,212039.0,2.751363200519702
87,2000-07-18 15:00:00,582.0,3.7,212277.0,1.2083046190642854
88,2000-07-18 16:00:00,597.0,3.9,182846.0,3.661966630030481
89,2000-07-18 17:00:00,591.0,3.6,162673.0,3.931920744860707
90,2000-07-18 18:00:00,587.0,3.0,157079.0,3.3120991273548954
91,2000-07-18 19:00:00,581.0,3.4,154237.0,3.080584332288052
92,2000-07-18 20:00:00,572.0,3.1,144442.0,1.2369317368365473
93,2000-07-18 21:00:00,569.0,2.9,143135.0,0.9219544231016787
94,2000-07-18 22:00:00,574.0,2.7,135220.0,1.1045361255975794
95,2000-07-18 23:00:00,577.0,2.5,115884.0,2.200000047683716
96,2000-07-19 00:00:00,571.0,2.4,106199.0,2.1931712373396532
97,2000-07-19 01:00:00,556.0,2.3,133132.0,0.9055384902822626
98,2000-07-19 02:00:00,564.0,2.0,98702.0,3.3060550035472143
99,2000-07-19 03:00:00,570.0,1.9,96416.0,3.471311082546369
100,2000-07-19 04:00:00,564.0,1.8,92731.0,3.6221539611290505
101,2000-07-19 05:00:00,551.0,1.8,81973.0,3.1320919458222574
102,2000-07-19 06:00:00,540.0,1.8,81269.0,2.773084945406635
103,2000-07-19 07:00:00,522.0,1.8,91924.0,2.0518284366005846
104,2000-07-19 08:00:00,527.0,1.8,80668.0,2.5961509939351948
105,2000-07-19 09:00:00,516.0,2.0,77345.0,2.52388580024921
106,2000-07-19 10:00:00,500.0,2.0,75669.0,2.1189620061036254
107,2000-07-19 11:00:00,492.0,1.8,76584.0,2.200000047683716
108,2000-07-19 12:00:00,499.0,2.0,46427.0,3.0083217556344075
109,2000-07-19 13:00:00,494.0,2.2,44573.0,2.308679317947612
110,2000-07-19 14:00:00,496.0,2.6,36758.0,3.413209689056583
111,2000-07-19 15:00:00,513.0,5.0,77236.0,4.652955953577289
112,2000-07-19 16:00:00,605.0,5.9,272732.0,9.625487213684282
113,2000-07-19 17:00:00,597.0,5.0,254319.0,10.79119988000217
114,2000-07-19 18:00:00,598.0,7.2,218554.0,11.280514172678478
115,2000-07-19 19:00:00,584.0,8.1,218749.0,9.121951173397006
116,2000-07-19 20:00:00,552.0,6.9,160229.0,9.570788507573862
117,2000-07-19 21:00:00,568.0,6.2,152364.0,10.63014581273465
118,2000-07-19 22:00:00,555.0,5.9,179337.0,9.109335702382776
119,2000-07-19 23:00:00,546.0,5.1,179670.0,8.386298544688216
